"","kingdom","phylum","class","order","family","genus"
"a5804917c929988ec0bbb9321c678976","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"dbdd7b36f809f5845b4d844bf91ea6d6","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"605f321a42930a6e5c1fbdcbd8b7cb6a","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"f65ecfb1648ea83819258aae3f3a5ceb","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"7b02365ea260c38f0dbf12fe48f9aff8","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2c63a699ee59f62fde76a85e161ec5ef","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"fb10e627f3a819bcc9465424eaa60aa1","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Parvimonas"
"ecbca9ae6f4e895c095a4e9de3e8d595","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"e52a7b6f654032d41e2e6c3ae991a45f","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"16059de742dd95365f2015f672bda5a2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"dfcd9bf712e4ecb35723eb20e90aff5a","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Eggerthia"
"c966fea739f4e7cade23ee1451f50788","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"50fcda8af5fe0d119afa8b4cd19d9eb8","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"65583f38b07c79b36f6326b3c1c6663f","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"7f148ce1a7e62c2ee3580e41519575d6","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"e79afef948659364ec587b32d0bbaa20","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"86d4b77a15b8ac725a2588c881640bea","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"6514f190465a0519b47b06dd7bd317c3","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"1f91176819564f647476b0aad56477ef","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Unassigned"
"935f07f1375b1a00d0fe100047462812","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"75aeaa19720b00ed3a4f1ba80024c6be","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"c668f14da8390eb7dede312ede352c6a","Eukaryota","Vertebrata","Mammalia","Mammalia","Mammalia","Mammalia"
"80e41416be7f3e76e54d657af57d7988","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria"
"9bbcdc72e3ef2fc71f4c7ab24d0cdb8e","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"432769c1adec962a9111bc1c7a68acbc","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"a5235610b0a0400a90b28bf5a7de6ab7","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"cff2978b64517ec3446814002f6ff051","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","uncultured"
"496ca0e4f69c76eb6aa63b31af0be201","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"236877a8b15d04c04abccb7b0c46e47b","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"dc6529560130490626d1eef5c957db2e","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"df5e82937ca2530edc59e86761420f81","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"c4a4f8cdfa8a6e61e392f2ce30187134","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas"
"387cbfe87a4f878f0529cb653421c21a","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"96d21f3f0fba9122e3b7301729cae90a","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"f53394f45e94df0702e1f50b07d3ef49","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"2430e7d4f6d156ffe7669adbbd66b64d","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"e71253ac6efcf051d9466cbc85eb6f3c","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
